EvaluationId#_18grnudgo#evaluation5.json
"id", "distortion", "emphasis", "unfounded", "unclear"
"0", "false", "false", "true", "false"
"1", "false", "true", "false", "false"
"2", "false", "false", "true", "false"
"3", "true", "false", "false", "false"
"4", "false", "true", "false", "false"
"5", "false", "true", "false", "false"
"6", "false", "false", "true", "false"
"7", "false", "false", "true", "false"
"8", "true", "false", "false", "false"
"9", "true", "false", "false", "false"
"10", "false", "false", "false", "true"
"11", "false", "false", "true", "false"
"12", "true", "false", "false", "false"
"13", "true", "false", "false", "false"
"14", "true", "false", "false", "false"
"15", "false", "false", "true", "false"
"16", "true", "false", "false", "false"
"17", "true", "false", "false", "false"
"18", "true", "false", "false", "false"
"19", "true", "false", "false", "false"
"20", "false", "false", "true", "false"
"21", "false", "true", "false", "false"
"22", "true", "false", "false", "false"
"23", "false", "true", "false", "false"
"24", "true", "false", "false", "false"
"25", "true", "false", "false", "false"
"26", "false", "false", "true", "false"
"27", "false", "true", "false", "false"
"28", "false", "false", "true", "false"
"29", "true", "false", "false", "false"
