EvaluationId#_icl52gift#evaluation3.json
"id", "distortion", "emphasis", "unfounded", "unclear"
"0", "false", "true", "false", "false"
"1", "false", "true", "false", "false"
"2", "true", "false", "false", "false"
"3", "false", "false", "true", "false"
"4", "true", "false", "false", "false"
"5", "true", "false", "false", "false"
"6", "false", "false", "true", "false"
"7", "false", "false", "true", "false"
"8", "true", "false", "false", "false"
"9", "false", "false", "true", "false"
"10", "false", "false", "true", "false"
"11", "false", "false", "true", "false"
"12", "true", "false", "false", "false"
"13", "false", "true", "false", "false"
"14", "true", "false", "false", "false"
"15", "false", "false", "true", "false"
"16", "false", "true", "false", "false"
"17", "false", "false", "true", "false"
"18", "false", "true", "false", "false"
"19", "false", "false", "true", "false"
"20", "false", "true", "false", "false"
"21", "true", "false", "false", "false"
"22", "false", "false", "true", "false"
"23", "false", "true", "false", "false"
"24", "false", "true", "false", "false"
"25", "true", "false", "false", "false"
"26", "true", "false", "false", "false"
"27", "false", "false", "true", "false"
"28", "false", "false", "true", "false"
"29", "false", "true", "false", "false"
"30", "false", "true", "false", "false"
"31", "false", "true", "false", "false"
"32", "false", "false", "true", "false"
"33", "true", "false", "false", "false"
"34", "true", "false", "false", "false"
"35", "false", "false", "true", "false"
"36", "false", "false", "true", "false"
"37", "false", "true", "false", "false"
"38", "false", "true", "false", "false"
"39", "true", "false", "false", "false"
