EvaluationId#_dgfylm4w5#evaluation1.json
"id", "distortion", "emphasis", "unfounded", "unclear"
"0", "false", "true", "false", "false"
"1", "false", "true", "false", "false"
"2", "false", "false", "true", "false"
"3", "true", "false", "false", "false"
"4", "true", "false", "false", "false"
"5", "false", "false", "true", "false"
"6", "true", "false", "false", "false"
"7", "false", "false", "true", "false"
"8", "false", "false", "true", "false"
"9", "false", "false", "true", "false"
"10", "true", "false", "false", "false"
"11", "false", "false", "true", "false"
"12", "false", "true", "false", "false"
"13", "true", "false", "false", "false"
"14", "false", "true", "false", "false"
"15", "false", "true", "false", "false"
"16", "false", "false", "true", "false"
"17", "false", "true", "false", "false"
"18", "false", "false", "true", "false"
"19", "false", "false", "true", "false"
"20", "true", "false", "false", "false"
"21", "false", "true", "false", "false"
"22", "false", "false", "true", "false"
"23", "true", "false", "false", "false"
"24", "false", "false", "true", "false"
"25", "false", "false", "true", "false"
"26", "true", "false", "false", "false"
"27", "false", "false", "true", "false"
"28", "false", "false", "true", "false"
"29", "false", "false", "true", "false"
"30", "false", "true", "false", "false"
"31", "false", "false", "true", "false"
"32", "true", "false", "false", "false"
"33", "false", "false", "true", "false"
"34", "false", "false", "false", "true"
"35", "false", "true", "false", "false"
"36", "false", "false", "true", "false"
"37", "false", "false", "true", "false"
"38", "true", "false", "false", "false"
"39", "false", "false", "false", "true"
