EvaluationId#_s7g02jdld#evaluation3.json
"id", "distortion", "emphasis", "unfounded", "unclear"
"0", "false", "true", "false", "false"
"1", "true", "false", "false", "false"
"2", "false", "true", "false", "false"
"3", "false", "false", "true", "false"
"4", "false", "false", "true", "false"
"5", "false", "true", "false", "false"
"6", "false", "true", "false", "false"
"7", "false", "false", "true", "false"
"8", "true", "false", "false", "false"
"9", "false", "true", "false", "false"
"10", "true", "false", "false", "false"
"11", "false", "false", "true", "false"
"12", "false", "true", "false", "false"
"13", "false", "true", "false", "false"
"14", "false", "false", "true", "false"
"15", "false", "true", "false", "false"
"16", "true", "false", "false", "false"
"17", "true", "false", "false", "false"
"18", "true", "false", "false", "false"
"19", "true", "false", "false", "false"
"20", "true", "false", "false", "false"
"21", "false", "true", "false", "false"
"22", "false", "false", "false", "true"
"23", "true", "false", "false", "false"
"24", "false", "true", "false", "false"
"25", "true", "false", "false", "false"
"26", "false", "false", "true", "false"
"27", "false", "false", "true", "false"
"28", "false", "true", "false", "false"
"29", "true", "false", "false", "false"
"30", "true", "false", "false", "false"
"31", "false", "true", "false", "false"
"32", "false", "true", "false", "false"
"33", "true", "false", "false", "false"
"34", "false", "true", "false", "false"
"35", "false", "false", "true", "false"
"36", "false", "true", "false", "false"
"37", "true", "false", "false", "false"
"38", "false", "false", "true", "false"
"39", "true", "false", "false", "false"
