EvaluationId#_bda6rbbri#evaluation2.json
"id", "distortion", "emphasis", "unfounded", "unclear"
"0", "true", "false", "false", "false"
"1", "false", "true", "false", "false"
"2", "false", "false", "true", "false"
"3", "true", "false", "false", "false"
"4", "false", "true", "false", "false"
"5", "false", "true", "false", "false"
"6", "true", "false", "false", "false"
"7", "false", "false", "true", "false"
"8", "false", "false", "true", "false"
"9", "true", "false", "false", "false"
"10", "true", "false", "false", "false"
"11", "false", "true", "false", "false"
"12", "false", "false", "true", "false"
"13", "false", "false", "true", "false"
"14", "false", "false", "true", "false"
"15", "false", "true", "false", "false"
"16", "false", "false", "true", "false"
"17", "false", "false", "true", "false"
"18", "true", "false", "false", "false"
"19", "true", "false", "false", "false"
"20", "true", "false", "false", "false"
"21", "false", "true", "false", "false"
"22", "true", "false", "false", "false"
"23", "false", "false", "true", "false"
"24", "true", "false", "false", "false"
"25", "false", "true", "false", "false"
"26", "false", "false", "true", "false"
"27", "false", "false", "true", "false"
"28", "true", "false", "false", "false"
"29", "false", "true", "false", "false"
"30", "false", "true", "false", "false"
"31", "false", "false", "true", "false"
"32", "false", "true", "false", "false"
"33", "false", "false", "true", "false"
"34", "true", "false", "false", "false"
"35", "false", "true", "false", "false"
"36", "true", "false", "false", "false"
"37", "false", "true", "false", "false"
"38", "true", "false", "false", "false"
"39", "false", "true", "false", "false"
