EvaluationId#_i5j0r2042#evaluation4.json
"id", "distortion", "emphasis", "unfounded", "unclear"
"0", "false", "true", "false", "false"
"1", "true", "false", "false", "false"
"2", "false", "true", "false", "false"
"3", "false", "false", "true", "false"
"4", "true", "false", "false", "false"
"5", "true", "false", "false", "false"
"6", "false", "true", "false", "false"
"7", "false", "false", "true", "false"
"8", "false", "false", "true", "false"
"9", "false", "true", "false", "false"
"10", "false", "false", "true", "false"
"11", "false", "false", "true", "false"
"12", "false", "false", "true", "false"
"13", "false", "true", "false", "false"
"14", "true", "false", "false", "false"
"15", "false", "true", "false", "false"
"16", "false", "false", "true", "false"
"17", "true", "false", "false", "false"
"18", "true", "false", "false", "false"
"19", "false", "false", "false", "true"
"20", "false", "true", "false", "false"
"21", "true", "false", "false", "false"
"22", "true", "false", "false", "false"
"23", "false", "false", "true", "false"
"24", "true", "false", "false", "false"
"25", "true", "false", "false", "false"
"26", "false", "false", "true", "false"
"27", "false", "true", "false", "false"
"28", "false", "false", "true", "false"
"29", "false", "false", "true", "false"
