EvaluationId#_r1a14srpr#evaluation1.json
"id", "distortion", "emphasis", "unfounded", "unclear"
"0", "false", "false", "true", "false"
"1", "false", "true", "false", "false"
"2", "false", "false", "true", "false"
"3", "false", "true", "false", "false"
"4", "false", "false", "true", "false"
"5", "true", "false", "false", "false"
"6", "true", "false", "false", "false"
"7", "true", "false", "false", "false"
"8", "false", "true", "false", "false"
"9", "false", "false", "true", "false"
"10", "true", "false", "false", "false"
"11", "false", "false", "false", "true"
"12", "false", "false", "true", "false"
"13", "true", "false", "false", "false"
"14", "false", "false", "true", "false"
"15", "true", "false", "false", "false"
"16", "false", "false", "false", "true"
"17", "false", "true", "false", "false"
"18", "true", "false", "false", "false"
"19", "false", "false", "true", "false"
"20", "false", "true", "false", "false"
"21", "true", "false", "false", "false"
"22", "false", "false", "true", "false"
"23", "false", "false", "true", "false"
"24", "true", "false", "false", "false"
"25", "true", "false", "false", "false"
"26", "false", "true", "false", "false"
"27", "false", "true", "false", "false"
"28", "false", "true", "false", "false"
"29", "false", "false", "true", "false"
"30", "true", "false", "false", "false"
"31", "false", "false", "true", "false"
"32", "false", "false", "true", "false"
"33", "false", "false", "false", "true"
"34", "false", "false", "true", "false"
"35", "false", "true", "false", "false"
"36", "false", "true", "false", "false"
"37", "true", "false", "false", "false"
"38", "false", "false", "true", "false"
"39", "true", "false", "false", "false"
